model,n,top1_exact,top5_exact,top1_rate,top5_rate,lift_pp
baseline:exact,500,0,0,0.0,0.0,0.0
baseline:fuzzy,500,226,314,0.452,0.628,0.176
baseline:tfidf,500,226,416,0.452,0.832,0.37999999999999995
claude-haiku-4-5:constrained,500,484,500,0.968,1.0,0.03200000000000003
claude-haiku-4-5:rag,500,453,478,0.906,0.956,0.04999999999999993
claude-haiku-4-5:zeroshot,500,445,467,0.89,0.934,0.04400000000000004
claude-opus-4-7:constrained,500,474,499,0.948,0.998,0.050000000000000044
claude-opus-4-7:rag,500,461,478,0.922,0.956,0.03399999999999992
claude-opus-4-7:zeroshot,500,445,494,0.89,0.988,0.09799999999999998
claude-sonnet-4-6:constrained,500,473,500,0.946,1.0,0.05400000000000005
claude-sonnet-4-6:rag,500,454,478,0.908,0.956,0.04799999999999993
claude-sonnet-4-6:zeroshot,500,377,479,0.754,0.958,0.20399999999999996
gemini-2.5-flash:constrained,500,442,457,0.884,0.914,0.030000000000000027
gemini-2.5-flash:rag,500,423,425,0.846,0.85,0.0040000000000000036
gemini-2.5-flash:zeroshot,500,377,379,0.754,0.758,0.0040000000000000036
gemini-2.5-pro:constrained,500,231,232,0.462,0.464,0.0020000000000000018
gemini-2.5-pro:rag,500,159,160,0.318,0.32,0.0020000000000000018
gemini-2.5-pro:zeroshot,500,59,59,0.118,0.118,0.0
gemini-3-flash-preview:constrained,500,448,455,0.896,0.91,0.014000000000000012
gemini-3-flash-preview:rag,500,412,415,0.824,0.83,0.006000000000000005
gemini-3-flash-preview:zeroshot,500,331,336,0.662,0.672,0.010000000000000009
gpt-4o-mini:constrained,500,471,500,0.942,1.0,0.05800000000000005
gpt-4o-mini:rag,500,452,483,0.904,0.966,0.061999999999999944
gpt-4o-mini:zeroshot,500,426,450,0.852,0.9,0.04800000000000004
gpt-5.5:constrained,500,468,500,0.936,1.0,0.06399999999999995
gpt-5.5:rag,500,446,469,0.892,0.938,0.04599999999999993
gpt-5.5:zeroshot,500,444,494,0.888,0.988,0.09999999999999998
pubmedbert:classifier,500,239,366,0.478,0.732,0.254
sentence-transformer:retrieval,500,345,453,0.69,0.906,0.21600000000000008
